year,team1_Name,team2_Name,winningTeam,mapName,team1Score,team2Score,team1Agents,team2Agents,agentsPicked
2022,OpTic Gaming,The Guard,The Guard,Haven,11,13,"Breach, Chamber, Neon, Omen, Skye","Breach, Chamber, Jett, Omen, Skye","Skye, Chamber, Omen, Breach, Neon, Jett, Skye, Omen, Chamber, Breach"
2022,DRX,ZETA DIVISION,DRX,Icebox,13,2,"Jett, Kayo, Sage, Sova, Viper","Chamber, Jett, Sage, Sova, Viper","Viper, Sova, Kayo, Sage, Jett, Chamber, Sova, Viper, Sage, Jett"
2022,DRX,ZETA DIVISION,DRX,Haven,13,3,"Breach, Jett, Killjoy, Omen, Sova","Astra, Breach, Jett, Killjoy, Skye","Omen, Killjoy, Jett, Breach, Sova, Killjoy, Breach, Astra, Skye, Jett"
2022,KRÜ Esports,Team Liquid,Team Liquid,Fracture,5,13,"Breach, Brimstone, Chamber, Jett, Sage","Breach, Brimstone, Chamber, Jett, Neon","Brimstone, Sage, Breach, Chamber, Jett, Breach, Brimstone, Chamber, Neon, Jett"
2022,KRÜ Esports,Team Liquid,Team Liquid,Ascent,14,16,"Chamber, Jett, Kayo, Omen, Sova","Jett, Kayo, Killjoy, Omen, Sova","Chamber, Jett, Kayo, Omen, Sova, Omen, Kayo, Killjoy, Jett, Sova"
2022,OpTic Gaming,XERXIA Esports,XERXIA Esports,Icebox,10,13,"Chamber, Kayo, Sage, Sova, Viper","Jett, Killjoy, Sage, Sova, Viper","Chamber, Kayo, Viper, Sova, Sage, Viper, Jett, Sova, Killjoy, Sage"
2022,OpTic Gaming,XERXIA Esports,XERXIA Esports,Ascent,10,13,"Brimstone, Jett, Kayo, Killjoy, Sova","Jett, Killjoy, Omen, Sage, Sova","Sova, Kayo, Jett, Brimstone, Killjoy, Killjoy, Jett, Sova, Omen, Sage"
2022,FNATIC,Ninjas In Pyjamas,Ninjas In Pyjamas,Ascent,7,13,"Jett, Kayo, Killjoy, Omen, Sova","Jett, Kayo, Killjoy, Omen, Sova","Sova, Jett, Omen, Killjoy, Kayo, Omen, Kayo, Jett, Sova, Killjoy"
2022,FNATIC,Ninjas In Pyjamas,Ninjas In Pyjamas,Split,8,13,"Omen, Raze, Sage, Skye, Viper","Cypher, Jett, Omen, Raze, Sage","Sage, Omen, Viper, Skye, Raze, Jett, Omen, Raze, Sage, Cypher"
2022,XERXIA Esports,Team Liquid,Team Liquid,Split,7,13,"Breach, Jett, Killjoy, Omen, Skye","Astra, Breach, Cypher, Raze, Sage","Breach, Skye, Omen, Killjoy, Jett, Sage, Astra, Breach, Raze, Cypher"
2022,XERXIA Esports,Team Liquid,XERXIA Esports,Icebox,13,11,"Jett, Killjoy, Sage, Sova, Viper","Jett, Killjoy, Sage, Sova, Viper","Killjoy, Viper, Sova, Jett, Sage, Sova, Jett, Sage, Killjoy, Viper"
2022,XERXIA Esports,Team Liquid,Team Liquid,Ascent,15,17,"Jett, Killjoy, Omen, Sage, Sova","Jett, Kayo, Killjoy, Omen, Sova","Omen, Killjoy, Sova, Sage, Jett, Kayo, Jett, Sova, Killjoy, Omen"
2022,Ninjas In Pyjamas,DRX,DRX,Icebox,4,13,"Jett, Reyna, Sage, Sova, Viper","Jett, Kayo, Sage, Sova, Viper","Jett, Sage, Sova, Reyna, Viper, Kayo, Viper, Sage, Sova, Jett"
2022,Ninjas In Pyjamas,DRX,DRX,Breeze,8,13,"Chamber, Jett, Kayo, Sova, Viper","Chamber, Jett, Skye, Sova, Viper","Chamber, Sova, Kayo, Viper, Jett, Viper, Skye, Jett, Chamber, Sova"
2022,OpTic Gaming,KRÜ Esports,OpTic Gaming,Bind,13,5,"Brimstone, Chamber, Raze, Skye, Viper","Brimstone, Raze, Sage, Skye, Viper","Chamber, Brimstone, Viper, Skye, Raze, Raze, Viper, Sage, Brimstone, Skye"
2022,OpTic Gaming,KRÜ Esports,OpTic Gaming,Ascent,13,10,"Jett, Kayo, Killjoy, Omen, Sova","Chamber, Jett, Kayo, Omen, Sova","Omen, Sova, Kayo, Jett, Killjoy, Jett, Sova, Chamber, Kayo, Omen"
2022,FNATIC,ZETA DIVISION,ZETA DIVISION,Fracture,7,13,"Breach, Brimstone, Cypher, Raze, Viper","Astra, Breach, Chamber, Raze, Viper","Viper, Raze, Brimstone, Cypher, Breach, Astra, Chamber, Raze, Breach, Viper"
2022,FNATIC,ZETA DIVISION,ZETA DIVISION,Icebox,11,13,"Chamber, Kayo, Sage, Sova, Viper","Chamber, Jett, Sage, Sova, Viper","Viper, Chamber, Sova, Sage, Kayo, Viper, Chamber, Sova, Jett, Sage"
2022,XERXIA Esports,OpTic Gaming,OpTic Gaming,Fracture,9,13,"Astra, Breach, Cypher, Jett, Sage","Breach, Brimstone, Chamber, Kayo, Neon","Cypher, Breach, Astra, Jett, Sage, Kayo, Neon, Chamber, Breach, Brimstone"
2022,XERXIA Esports,OpTic Gaming,OpTic Gaming,Haven,6,13,"Breach, Jett, Killjoy, Omen, Skye","Chamber, Kayo, Neon, Omen, Skye","Jett, Breach, Omen, Skye, Killjoy, Neon, Chamber, Omen, Skye, Kayo"
2022,Ninjas In Pyjamas,ZETA DIVISION,Ninjas In Pyjamas,Split,13,6,"Cypher, Jett, Omen, Raze, Sage","Astra, Raze, Sage, Skye, Viper","Raze, Sage, Cypher, Omen, Jett, Astra, Sage, Raze, Skye, Viper"
2022,Ninjas In Pyjamas,ZETA DIVISION,ZETA DIVISION,Icebox,10,13,"Jett, Reyna, Sage, Sova, Viper","Chamber, Jett, Sage, Sova, Viper","Sova, Viper, Jett, Reyna, Sage, Viper, Jett, Chamber, Sage, Sova"
