patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
6.05,KOI,Natus Vincere,Ascent,13,7,Killjoy,Kayo,Fade,Omen,Jett,Jett,Omen,Gekko,Kayo,Viper
6.05,KOI,Natus Vincere,Lotus,20,18,Omen,Breach,Raze,Killjoy,Sova,Killjoy,Gekko,Omen,Viper,Skye
6.05,FNATIC,Giants Gaming,Icebox,13,3,Viper,Sova,Sage,Killjoy,Jett,Sova,Kayo,Jett,Viper,Killjoy
6.05,FNATIC,Giants Gaming,Split,13,11,Breach,Raze,Omen,Cypher,Skye,Kayo,Viper,Raze,Skye,Astra
6.05,Team Heretics,FUT Esports,Pearl,4,13,Harbor,Skye,Killjoy,Jett,Astra,Raze,Astra,Kayo,Viper,Cypher
6.05,Team Heretics,FUT Esports,Lotus,9,13,Omen,Jett,Killjoy,Sage,Skye,Omen,Kayo,Sage,Killjoy,Neon
6.05,Team Liquid,Team Vitality,Haven,6,13,Jett,Sova,Cypher,Breach,Omen,Sova,Omen,Breach,Jett,Killjoy
6.05,Team Liquid,Team Vitality,Fracture,13,2,Raze,Cypher,Skye,Viper,Omen,Raze,Fade,Breach,Brimstone,Killjoy
6.05,Team Liquid,Team Vitality,Lotus,10,13,Skye,Neon,Viper,Kayo,Omen,Raze,Fade,Breach,Cypher,Harbor
6.05,Natus Vincere,Giants Gaming,Icebox,15,17,Jett,Viper,Kayo,Sage,Cypher,Killjoy,Sova,Jett,Viper,Sage
6.05,Natus Vincere,Giants Gaming,Split,15,13,Astra,Skye,Jett,Gekko,Viper,Kayo,Skye,Astra,Viper,Raze
6.05,Natus Vincere,Giants Gaming,Pearl,13,7,Kayo,Jett,Astra,Killjoy,Gekko,Viper,Gekko,Kayo,Astra,Jett
6.05,Karmine Corp,BBL Esports,Icebox,19,17,Killjoy,Harbor,Kayo,Viper,Gekko,Killjoy,Omen,Viper,Sova,Sage
6.05,Karmine Corp,BBL Esports,Split,13,11,Raze,Astra,Cypher,Breach,Gekko,Breach,Sage,Cypher,Astra,Raze
