year,team1Encoded,team2Encoded,encodedMapName,team1Score,team2Score,agent1Encoded,agent2Encoded,agent3Encoded,agent4Encoded,agent5Encoded,agent6Encoded,agent7Encoded,agent8Encoded,agent9Encoded,agent10Encoded,team1Agents,team2Agents
2024,51,17,5,13,10,8,18,13,4,19,6,3,8,4,13,"8, 18, 13, 4, 19","6, 3, 8, 4, 13"
2024,38,58,10,13,11,19,15,9,8,13,14,18,8,19,2,"19, 15, 9, 8, 13","14, 18, 8, 19, 2"
2024,38,58,7,9,13,8,3,15,4,7,3,8,4,2,15,"8, 3, 15, 4, 7","3, 8, 4, 2, 15"
2024,38,58,5,13,6,8,3,6,4,13,8,3,6,4,13,"8, 3, 6, 4, 13","8, 3, 6, 4, 13"
2024,17,73,9,5,13,2,11,15,14,19,9,13,14,19,11,"2, 11, 15, 14, 19","9, 13, 14, 19, 11"
2024,17,73,10,13,5,8,14,13,9,19,20,13,19,14,18,"8, 14, 13, 9, 19","20, 13, 19, 14, 18"
2024,17,73,3,13,10,6,20,14,15,3,3,9,11,6,14,"6, 20, 14, 15, 3","3, 9, 11, 6, 14"
2024,29,51,3,14,16,6,11,14,3,9,11,3,22,6,14,"6, 11, 14, 3, 9","11, 3, 22, 6, 14"
2024,29,51,5,13,4,17,13,18,20,4,19,8,18,4,13,"17, 13, 18, 20, 4","19, 8, 18, 4, 13"
2024,29,51,9,13,11,2,13,14,9,11,22,14,11,19,13,"2, 13, 14, 9, 11","22, 14, 11, 19, 13"
2024,17,38,4,8,13,8,13,21,15,6,13,19,14,18,20,"8, 13, 21, 15, 6","13, 19, 14, 18, 20"
2024,17,38,3,13,9,3,6,14,20,15,6,11,9,14,3,"3, 6, 14, 20, 15","6, 11, 9, 14, 3"
2024,17,38,9,13,7,14,15,11,19,2,11,13,14,19,9,"14, 15, 11, 19, 2","11, 13, 14, 19, 9"
2024,51,17,3,7,13,3,14,11,6,22,20,3,14,15,6,"3, 14, 11, 6, 22","20, 3, 14, 15, 6"
2024,51,17,10,13,15,20,18,19,14,13,8,14,9,19,13,"20, 18, 19, 14, 13","8, 14, 9, 19, 13"
2024,51,17,9,13,9,22,13,11,14,19,19,2,14,15,11,"22, 13, 11, 14, 19","19, 2, 14, 15, 11"
2024,51,17,5,3,13,18,13,8,19,4,8,4,3,6,13,"18, 13, 8, 19, 4","8, 4, 3, 6, 13"
2024,29,17,4,6,13,20,19,18,13,14,14,20,19,18,13,"20, 19, 18, 13, 14","14, 20, 19, 18, 13"
2024,29,17,10,13,4,20,13,19,9,14,9,13,14,8,19,"20, 13, 19, 9, 14","9, 13, 14, 8, 19"
2024,29,17,5,13,9,13,20,4,17,18,13,6,3,8,4,"13, 20, 4, 17, 18","13, 6, 3, 8, 4"
2024,29,17,7,11,13,8,3,4,7,15,8,7,15,4,3,"8, 3, 4, 7, 15","8, 7, 15, 4, 3"
2024,29,17,9,13,9,13,11,9,14,2,19,15,14,11,2,"13, 11, 9, 14, 2","19, 15, 14, 11, 2"
